Level,players,Attempts,Relative Churn,Global Churn,APS,Pure APS,% Revived,% Used Boosters,% Used PG Boosters,Avg Win (s),Avg Lose (s),Avg Moves Left,Avg Targets Left,Avg Switch,Avg Slingshots,Avg Hammers,Avg Rockets,Avg Colors,Avg PG Color,Avg PG Electric,Multi Stacks,Avg Combo,Avg SuperCombo,Avg MegaCombo,Avg BigCombo,Avg Electrics,Avg hottestTiles,hottestTile Progression,Momentum hottestTile,Momentum ColorRush,Avg inGameCoins,Quits
Level 1,8651,10283,7%,100%,1,1.32,0%,0%,0%,29,63,12,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Level 2,8073,9669,6%,93%,1,1.35,0%,0%,0%,54,45,17,76,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Level 3,7582,9128,13%,88%,1,1.36,0%,0%,0%,45,73,14,4,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Level 4,6628,8045,-1%,77%,1,1.39,0%,0%,0%,89,144,14,18,0.17,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
Level 5,6717,8802,10%,78%,1.01,1.41,0%,0%,0%,86,84,8,48,0.12,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,13
Level 6,6035,7659,7%,70%,1.03,1.49,1%,0%,0%,93,139,11,30,0.09,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,4
Level 7,5597,7068,8%,65%,1.01,1.54,0%,3%,0%,88,119,11,18,0.06,0.03,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0.44,4
Level 8,5162,6620,5%,60%,1.02,1.57,1%,2%,0%,90,137,11,8,0.09,0.02,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0.66,4
Level 9,4928,6348,7%,57%,1.02,1.56,0%,1%,0%,118,125,7,66,0.1,0.01,0,0,0,0,0,8,1.5,1.41,0,1.11,0,0,0,0,0,0.93,2
Level 10,4567,6340,4%,53%,1.1,1.82,4%,3%,0%,106,140,6,18,0.14,0.03,0,0,0,0,0,3,0.92,0.26,0,0.72,0,0,0,0,0,2.1,4
Level 11,4365,5653,4%,50%,1.01,1.61,0%,1%,0%,92,129,8,6,0.11,0.01,0,0,0,0,0,2,0.39,0.2,0,0.28,0,0,0,0,0,0.65,0
Level 12,4186,5443,4%,48%,1.01,1.64,0%,3%,0%,92,137,9,27,0.1,0.01,0.03,0,0,0,0,3,0.66,0.33,0,0.65,0,0,0,0,0,0.71,1
Level 13,4002,5306,4%,46%,1.02,1.68,1%,2%,0%,115,147,8,19,0.14,0.01,0.02,0,0,0,0,4,0.95,0.38,0,0.78,0.1,0,0,0,0,1.21,2
Level 14,3860,5124,5%,45%,1.02,1.67,1%,2%,0%,100,141,10,17,0.07,0.01,0.01,0,0,0,0,9,2.45,1.04,0,1.54,0.11,0,0,0,0,0.74,0
Level 15,3663,5018,1%,42%,1.01,1.64,0%,1%,0%,86,123,11,13,0.08,0.01,0.01,0,0,0,0,3,0.91,0.24,0,0.74,0.02,0,0,0,0,0.43,1
Level 16,3629,4817,6%,42%,1.01,1.7,0%,3%,0%,112,147,11,25,0.08,0.01,0,0.04,0,0,0,7,1.48,1.05,0,1.32,0.11,0,0,0,0,1.1,0
Level 17,3408,6383,9%,39%,1.44,2.96,9%,9%,0%,187,192,5,20,0.16,0.07,0.05,0.09,0,0,0,4,1.38,0.29,0,0.94,0.03,0,0,0,0,1.93,5
Level 18,3106,4215,5%,36%,1.02,1.77,1%,2%,0%,97,136,9,27,0.07,0.02,0.01,0.01,0,0,0,11,0.89,1.68,1.02,1.02,0.05,0.82,0,0,0,0.74,1
Level 19,2936,6123,7%,34%,1.63,3.6,10%,7%,0%,173,155,4,37,0.14,0.06,0.04,0.05,0,0,0,6,1.62,0.48,0.12,1.34,0.06,0.06,0,0,0,1.81,4
